sample_id,Stkcd,year,parent_llm_score,keyword,generic_bucket,score_bucket,density_bucket,window_hits,context
S064,603717,2019,1,风险控制,nongeneric,low,sparse,1,标， 2019 年年度报告 185 / 209 本公司风险管理的基本策略是确定和分析本公司所面临的各种风险，建立适当的风险承受底线和 进行风险管理，并及时可靠地对各种风险进行监督，将风险控制在限定的范围之内。 本公司的金融工具包括：交易性金融资产、应收票据、应收账款、其他应收款、长期应收款、 其他非流动金融资产、短期借款、应付票据、应付账款、其他应付款、其他流动负债、长期借款、
S065,2392,2021,1,风险控制,nongeneric,low,sparse,1,成不利影响。对此公司将积极应对，充分做好应急预案， 提高抵御风险能力。 管理风险：公司已建立较为规范的各项管理制度，企业经营运转良好，但随着公司的业务规模快速增 加，公司的经营决策、运作实施和风险控制的难度均有所增加，对公司经营层的管理水平也提出了更高的 要求。若公司的生产经营、销售、质量控制、风险管理等能力不能适应公司规模扩张的要求，人才培养、 组织模式和管理制度不能与业务同步发展，可能会引
S066,300051,2014,1,风险控制,nongeneric,low,sparse,1,有综合管理能力的高素质管理团队，并及时根据公司的发展 规模调整现有的组织架构和管理制度，对投资企业人事、行政、业务、财务等各项业务流程进行固化，加大绩效考核力 度，优化管理团队，加强内部控制尤其是风险控制体系建设，以面对公司规模扩大后所带来的管理风险。 （7）重大资产重组风险 公司于2014年12月25日召开第三届董事会第十九次会议审议通过了《关于公司向特定对象发行股份及支付现金购买 资产并
S067,2260,2016,1,程序化,nongeneric,low,sparse,1,"务 （1）推行制度化管理体系，规范对子公司的管控流程 目前，公司通用航空业务板块下子公司较多，实施制度化管理能够把企业生产全过程的各个要素和环节组 织起来，使各项工作活动达到规范化、科学化、程序化，建立起生产、经营的最佳状态。 （2）扎实推进工作，加强资金管理 公司将借助利好政策背景,积极把握发展机遇,公司董事会和管理层将勤勉尽责,通过自筹资金、筹备产业 基 金投入等方式,按照既定计"
S068,622,2021,1,算法,nongeneric,low,sparse,1,"格比较，选择符合采购 需求、质量服务相等,且报价最低的供应商来采购货物。 （2）销售模式：主要是经销模式，货物主要销售给下游贸易商，通过进销差价实现利润。 （3）成本核算方式：数量金额核算法，按采购的商品的数量和金额进行成本核算。 （4）利润来源：最主要的来源是经销货物的价差。 三、核心竞争力分析 公司始终坚持“以人为本出精品、诚信服务赢客户、科学管理求绩效、持续改进再发展"
S069,688668,2024,1,数据资源,nongeneric,low,sparse,1,"7,414,321.13 2,558,669.96 其中：应收利息 应收股利 买入返售金融资产 存货 七．10 334,333,699.36 268,079,410.76 其中：数据资源 合同资产 持有待售资产 一年内到期的非流动资产 其他流动资产 七．13 378,797,301.89 381,898,495.08 流动资产合计 1,254,321,994.71"
S070,14,2016,0,精准营销,nongeneric,low,sparse,1,归深圳本地开发项目和项目运营。 二是创新营销手段，狠抓项目去化。 2017年，公司将继续创新营销手段，联合第三方机构达成客户共享、联合宣传。同时，借助互联网工具产生的海量数据 进行分析，实现精准营销及需求定制。逐步实现由“产品导向型”发展为“客户导向型”，提升异地项目去化率和回款率。 十、接待调研、沟通、采访等活动情况 1、报告期内接待调研、沟通、采访等活动登记表 √ 适用 □ 不适
S071,38,2015,1,风险控制,nongeneric,low,sparse,1,"、产融结合”战略目标，进一步巩固和发展“互联网传媒营销、户外广告”战略发 展成果，逐步剥离地产业务，布局行业前景广阔的新媒体广告领域，成功实现主业转型。保持战略定力,坚持以发展作为第 一要务，坚持风险控制、协同发展、稳健经营，推进深大通体系跨越式发展，搭建互联网传媒发展平台，开创各项事业的新 局面，实现主要经济指标持续增长。 公司未来将包含三个大的业务板块，即移动互联网网页广告（以"
S072,688082,2024,1,数据资源,nongeneric,low,sparse,1,".28 49,128,008.60 4,232,200,698.68 3,953,852,642.53 28,595,604.22 3,925,257,038.31 (2). 确认为存货的数据资源 □适用 √不适用 (3). 存货跌价准备及合同履约成本减值准备 √适用 □不适用 单位：元 币种：人民币 项目 期初余额 本期增加金额 本期减少金额 期末余额 计提 其 他"
S073,603738,2019,0,风险控制,nongeneric,low,sparse,1,，使股东及其其他权益投资者的利益最大化。基于该风险管理目标， 本公司风险管理的基本策略是确定和分析本公司所面临的各种风险，建立适当的风险承受底线和 进行风险管理，并及时可靠地对各种风险进行监督，将风险控制在限定的范围之内。 1、 市场风险 （1）外汇风险 2019 年年度报告 193 / 216 本公司的的主要业务经营领域位于境内，但也存在一定的国际业务，涉及采购与销售，取得
S074,2070,2016,0,风险控制,nongeneric,low,sparse,1,水平，使股东 和其他权益投资者的利益最大化。基于该风险管理目标，本公司风险管理的基本策略是确认和分析本公司面临的各种风险， 建立适当的风险承受底线和进行风险管理，并及时可靠地对各种风险进行监督，将风险控制在限定的范围内。 本公司的主要金融工具包括应收账款、应收票据、短期借款、应付账款、应付票据、长期借款等，各项金融工具的详细 情况说明见财务报表注释相关项目。与这些金融工具有关的风险，以及本公司为
S075,55,2011,0,风险控制,nongeneric,low,sparse,1,术成果共享，加强知识产权的保护工作，争取中国驰名 商标申报成功。完善合理的员工薪酬体系、高效的定岗定编方案，加强对员工的 再教育再培训工作。以内控建设为中心，严格规划和完善财务体系、审计体系及 风险控制体系，降低一切可以降低的成本，大力改善企业经营性现金流。进一步 加强企业文化建设，提升企业和产品品牌的知名度、影响力。 资金需求及使用计划： 2012 年，公司节能幕墙及光电幕墙扩产项目和地
S076,301190,2024,1,数据资源,nongeneric,low,dense,2,",631,496.00 生产性生物资产 油气资产 使用权资产 1,285,187.49 651,186.22 无形资产 16,412,792.42 16,805,889.26 其中：数据资源 开发支出 其中：数据资源 商誉 长期待摊费用 4,826,695.90 1,495,649.88 递延所得税资产 18,634,037.10 16,729,154.51 其他非流"
S077,600734,2024,0,数据集,nongeneric,low,dense,2,"本期发生额 上期发生额 支付租赁负债 10,651,552.52 9,537,439.24 破产重整费用 4,329,705.74 支付的租赁保证金 893,401.86 归还大数据集团借款 10,000,000.00 9,000,000.00 其他 153,097.22 1,242,371.33 合计 20,804,649.74 25,002,918.17 筹资"
S078,301396,2024,1,数据分析,nongeneric,low,dense,5,"未来的数据分析需 求。 7、模板适应性：系统 该研究服务于公司“人 工智能+数据智能”的 创新战略,基于国产平 台的构建融合人工智 能的数据预处理、算 法优化、智能决策的 国产化数据分析框 架，促进数据驱动的 决策过程,赋能公司数 据服务能力提升，提 升公司在数据服务领 域的核心竞争力。 宏景科技股份有限公司2024 年年度报告全文 42 能够适应至少100 种 不"
S079,2495,2012,0,数据库,nongeneric,low,dense,3,紧紧围绕年初经营计划及目标，积极调整销售策略，锐意进取，攻坚克难，根据市场 变化情况以及目标客户群的需求，积极推广新产品，加强品牌宣传以及产品促销力度，加大开发新市场、 发展新客户的投入，建立客户数据库，为公司的全面信息化管理提供依据，引入掌务通系统，提升公司管 理水平、服务水平和核心竞争力，方便管理者快速决策，推进公司市场营销网络布局，强化营销体系，努 力达到巩固成熟市场、培育新市场、拓展空白
S080,301085,2023,1,数据中心,nongeneric,low,dense,2,售后维 保和交付实施协同发展的服务模式，通过完善自身一体化的算力服务能力，为客户提供基础设施一站式服务。 （1）技术运维服务 技术运维服务是指由公司向阿里巴巴、腾讯、百度、美团、字节跳动等客户的数据中心派驻工程师，根据客户要求 的服务等级和服务流程提供相应算力设备的日常运维服务。 从传统数据中心运维服务向算力中心运维服务进行转换，紧跟科技发展趋势，提升该服务的业务覆盖度。 （2）售后维保服务
S081,600783,2014,1,风险控制,nongeneric,low,dense,3,"危险违规行为作出风险警示与汇报的部门，时 时监督内部控制运行,推动内部控制的有效开展。 （3）公司积极实施客观的项目投资后评价工作；建立健全对基金的内控、审计与评价体系； 不断加大对前台在风险控制等方面的支持力度。 4、通过信息化手段积极整合资源 公司建立了内部管理信息平台，通过整合公司目前的业务流程，实现对投资管理、业务支持、 综合分析、内部管理的信息化，从而达到公司内部信"
S082,300096,2017,1,数据交易,nongeneric,low,dense,11,目前已 拥有多个著作权及专利。在大数据资源方面，公司早前成功发起成立“厦门市大数据产业协会”，当选首届协会会长；与厦大、 中山医院成立健康医疗大数据协创中心；作为发起单位、第二大股东筹建“福建省大数据交易中心”，积极打造公司大数据业 务发展平台，整合大数据资源，不断丰富大数据产业基础储备；早在2016年12月公司就与福建省医疗保障管理委员会办公室 签署了《福建省医疗保障信息化建设合作协议》，根据协
S083,2335,2020,1,数据中心,nongeneric,low,dense,3,分部。这些 报告分部是以公司日常内部管理要求的财务信息为基础确定的。本公司的管理层定期评价这些报告分部的经营成果，以决定 向其分配资源及评价其业绩。 数据中心业务分部主要包含IDC收入、数据中心产品销售及数据中心集成业务；智慧电能产品业务分部主要包含工业交通 电源产品、电力自动化系统和智慧能源管理系统、配电产品集成及服务的销售；新能源业务分部包括新能源产品、新能源集 成业务、光伏发电等业
S084,3032,2023,0,数据库,nongeneric,low,dense,3,数据技术原理与应用》《Hive 数据仓库应用》 《Java 基础入门（第 3 版）》《MySQL 数据库入门（第 2 版）》被评为清华大学出版社 2023 年最受欢迎科技类图书奖； 《MySQL 数据库原理、设计与应用（第 2 版）》被评为清华大学出版社 2023 年度科技类畅销新书奖；黑马程序员荣获人 民邮电出版社《优秀作译者》荣誉证书。江苏传智播客教育科技股份有限公司 2023 年年度报告全文
S085,601595,2024,1,数据资源,nongeneric,low,dense,3,本公司自2024 年1 月1 日 起执行该规定，执行该规定未对本公司财务状况和经营成果产生重大影响。 （2）执行《企业数据资源相关会计处理暂行规定》 财政部于2023 年8 月1 日发布了《企业数据资源相关会计处理暂行规定》（财会〔2023〕11 号）， 适用于符合企业会计准则相关规定确认为无形资产或存货等资产的数据资源，以及企业合法拥有或控 制的、预期会给企业带来经济利益的、但不满足资产确认条
S086,600228,2022,1,运营数据,nongeneric,low,dense,2,利 APP（不包含小程序等）运营绩效指标同比变动比例示意如下： 注：数据来源于公司系统统计，以 2021 年各运营数据基数为 1 相应计算各运营绩效指标同 比变动图。该数据为“返利”APP 导购运营数据，不包含小程序等，本节数据口径区别于重组 报告书，请注意有关区别。 （二）广告推广业务经营情况分析 整合营销及广告业务，是公司以向品牌方提供“实时业务、高效触达、中台一体、智慧 运营
S087,300098,2015,1,数据安全,nongeneric,low,dense,2,图像分析、警务云平台存储等 技术的国标、行标制定；公司旗下汇聚创联电子、国迈科技、讯美科技等优秀企业，业务遍布全国31个省市。 报告期内公司主要业务包括平安城市与智能交通、通信安全、铁路行车安全、数据安全和金融安全等。 平安城市与智能交通业务：开展智慧城市相关项目，致力于为客户提供咨询、设计、工程、维护一站式服务。依靠自 主研发和整合打造了涉及感知、采集、网络、平台、应用全系列的安防产品及解决方案
S088,300499,2023,1,数据中心,nongeneric,low,dense,2,局、中央网信办、工信部、国家能源局联合印发《深入实施 “东数西算”工程加快构建全国一体化算力网的实施意见》，指出到 2025 年底，普惠易用、绿色安全的综 合算力基础设施体系初步成型，并强调要推进数据中心用能设备节能降碳改造，推广液冷等先进散热技 术。 截至 2023 年上半年，全国在用的数据中心总规模超过 760 万标准机架，算力总规模达到了 197EFLOPS，已经位居全球第二。新增的算力设
S089,300033,2024,1,算法,nongeneric,low,dense,2,、招投标等结构化和非结 构化数据，以及交易所、信息公司、政府部门、科研机构、高等院校、宏观经济研究机构和专业行业数 据公司等机构提供的授权数据。这些数据不仅满足了客户多样化的需求，还为公司人工智能算法训练、 AI 大模型训练提供了数据基础。 6、品牌优势 作为中国最早从事互联网金融信息服务的企业之一，公司通过多年的技术、经验和客户资源积累， 较为准确地把握了市场发展趋势和客户需求，开发出了
S090,2065,2021,1,数据中心,nongeneric,low,dense,16,设的发展理念， 在疫情冲击下坚守数字基础建设阵地，落地多个数字基础建设项目，分别是东南健康医疗大数据中心、民政部大数据中心、 云岩区教育局数据中心、中国人民解放军第305医院数据中心、五凌电力本部数据中心、中信财务公司数据中心、鲁西南大 数据中心一期、武昌区大数据中心、中国大唐集团数据中心建设、福建供销集团智慧数据中心、旭阳集团数据中心建设、内 蒙古自治区一体化大数据中心建设、内蒙古霍煤鸿骏铝电有
S091,300110,2016,3,风险控制,nongeneric,high,sparse,1,借款、长期应付款。 各项金融工具的详细情况已于相关附注内披露。与这些金融工具有关的风险，以及本集团为降低这些风险所采取的风险管理 政策如下所述。本集团管理层对这些风险敞口进行管理和监控以确保将上述风险控制在限定的范围之内。 1、风险管理目标和政策 本公司从事风险管理的目标是在风险和收益之间取得适当的平衡，力求降低金融风险对本集团财务业绩的不利影响。基于该 风险管理目标，本集团已制定风险管理政
S092,688296,2024,2,算法,nongeneric,high,sparse,1,82 10 基于非合 作式声学 目标捕捉 的管道漏 点定位技 术 公司以供水管道的泄漏检测为背景， 深入研究了泄漏信号的分析处理技术，并 自主研制了基于声学分析和滤波技术的定 位算法，实现对供水管道漏点的精确定 位。 基于被动信号检测，利用 漏点声信号的特性建立平稳随 机信号时延估计模型，结合时 频域信息，估计有效信号频 带，自动生成数字滤波器，提 高接收信号信噪比
S093,603421,2024,2,数据资源,nongeneric,high,sparse,1,折现租赁收款额 □适用√不适用 (3) 作为生产商或经销商确认融资租赁销售损益 □适用√不适用 青岛鼎信通讯股份有限公司2024 年年度报告 188 / 216 其他说明： 无 83、数据资源 □适用√不适用 84、其他 □适用√不适用 八、研发支出 1、按费用性质列示 √适用□不适用 单位：元 币种：人民币 项目 本期发生额 上期发生额 工资、薪金及福利 389
S094,2496,2016,2,数据采集,nongeneric,high,sparse,1,，保证生产经营活动得以顺利进行的相关活动。 DCS 指 集散控制系统，一个为满足大型工业生产的要求，从综合自动化的角 度，按功能分散、协调集中的原则设计，具有高可靠性，用于生产管 理、数据采集和各种过程控制的计算机控制系统。该系统有助于提升 工作效率，保障稳定生产。 农药原药 指 农药活性成分，一般不能直接使用，必须经过加工配制成各种类型制 剂的农药 农药制剂 指
S095,300679,2024,3,数据资源,nongeneric,high,sparse,1,"电连技术股份有限公司2024 年年度报告全文 104 其中：应收利息 应收股利 18,631,176.11 存货 595,222,718.00 459,821,748.07 其中：数据资源 合同资产 0.00 0.00 持有待售资产 0.00 0.00 一年内到期的非流动资产 0.00 0.00 其他流动资产 57,431,361.14 3,860,697.58"
S096,688188,2021,2,算法,nongeneric,high,sparse,1,021 年年度报告 36/214 加大对软件研发团队的投入，重点开发激光加工专用的平面 CAD/CAM 软件 CypNest 和三维 CAD/CAM 软件 TubesT，均使用智能排序算法，同时配备内容丰富的工艺库，能够促进对激光加工系统的整 合；通过提供全面的解决方案，帮助客户提高生产力，从而增强自有竞争力。 ④智能硬件 增加高精度传感器研发技术投入，以多种传感器检测与采集
S097,600510,2020,2,数据中心,nongeneric,high,sparse,1,快速 增长的黄金期。在国家倡导信息技术自主可控的大背景下，新型基础设施关键设备的国产 化进口替代将成为行业发展的总体趋势。同时，在国家大力推行碳达峰、碳中和的大形势 下，绿色节能的高能效标准成为数据中心建设的政策鼓励方向，具有低能耗热管理核心技 术的企业将在行业竞争中脱颖而出。 2、新型城镇化建设业务经营模式和行业情况概述 公司的新型城镇化建设业务主要包括基础设施建设、房地产开发、特色产业
S098,2841,2017,2,数据采集,nongeneric,high,sparse,1,+软件+远程会议”的 企业级服务生态的重要组成部分。公司通过向企业提供智能会议终端、软件和服务，形成较高的用户黏性。 在服务企业级用户的同时，通过了解用户的需求、解决使用过程中的痛点，辅助用户完成数据采集和分析， 帮助用户提升效率和体验，并以此对产品进行升级或推出其他的配套产品和服务。 4、内生孵化+产业整合并举 公司自创立以来，一直注重内部创新精神的培养及创新机制的建立。内部员工如有创业灵
S099,600795,2017,2,风险控制,nongeneric,high,sparse,1,平，使股东及其他权益投资者的利益最大化。基于该风险管理目标，本 公司风险管理的基本策略是确定和分析本公司所面临的各种风险，建立适当的风险承受底线和进 行风险管理，并及时可靠地对各种风险进行监督，将风险控制在限定的范围之内。 1、市场风险 （1）利率波动风险 公司所属的电力行业是资本密集型行业，电源项目建设具有投资规模大、投资回收期长的特 点。公司近年来新建项目较多，项目资本金以外部分投资
S100,600305,2021,2,风险控制,nongeneric,high,sparse,1,露。与这些金融工具有关的风险，以及本公司为降低 2021 年年度报告 168 / 186 这些风险所采取的风险管理政策如下所述。本公司管理层对这些风险敞口进行管理和监控以确保 将上述风险控制在限定的范围之内。 本公司采用敏感性分析技术分析风险变量的合理、可能变化对当期损益或股东权益可能产生 的影响。由于任何风险变量很少孤立地发生变化，而变量之间存在的相关性对某一风险变量的变 化的
S101,2657,2021,2,数据中心,nongeneric,high,sparse,1,"32.78% -6.31% 分产品 金融科技综合服务 760,643,658.56 47.36% 886,179,296.23 50.40% -14.17% 数据中心综合服务 793,336,353.70 49.40% 842,219,490.61 47.90% -5.80% 其他业务 52,114,985.15 3.24% 3"
S102,688622,2022,2,数据分析,nongeneric,high,sparse,1,主要质谱仪产品（单价数百万元）进行的应用场景开发和服务开发更加契合我国本土环境监测需 要，国外厂商在国内环境监测领域相比公司而言不具备明显优势，公司的业绩增长主要依托技术 先进的质谱仪产品及相关数据分析服务，不依赖于价格竞争。 在长期的经营过程中，公司培养了一支优秀的销售服务团队，分布于全国主要城市，保障公 司的服务基本覆盖各主要市场。销售服务团队保障了公司和产品信息的准确传递，为公司过去几
S103,688787,2024,2,算法,nongeneric,high,sparse,1,致 校对技术 √ （1）基础研究层面，报告期内，公司持续在智能语音、计算机视觉、自然语言、以及包括智 能驾驶、大模型为代表的垂直领域进行技术拓展，并有多项核心技术取得显著进展。例如，在基 础算法研究方面，新增数十个基础模型，包括巴什基尔语、卡纳达语、林加拉语等多个ASR 语音 识别模型、语音无监督数据自动清洗模型、2D-3D 融合连续帧交通目标检测模型、3D 点云地面自 适应检测模型、4
S104,600556,2022,2,数据产品,nongeneric,high,sparse,1,性循环，有能力为各行各业商家客户提供服务。公司也将继续挖掘数据及模型的深 度价值，为客户和内容创作者提供更丰富、更高效的服务。 （二）红人生态结构健康、中腰部红人价值显现 公司持续通过数据产品、技术工具提升红人商业化效率，并以创新的商业服务赋能提升其商 务能力，辅助红人更好的兑现商业化价值，平台价值日益凸显。截至报告期，平台注册红人账户 数累积达到 237.2 万，其中专职或兼职从事红
S105,600455,2024,2,数据资源,nongeneric,high,sparse,1,"收款 七、4 1,385,044.26 1,692,987.65 其中：应收利息 应收股利 买入返售金融资产 存货 七、5 120,262.78 346,563.94 其中：数据资源 合同资产 持有待售资产 一年内到期的非流动资产 其他流动资产 七、6 961,982.46 298,666.69 流动资产合计 243,581,916.98 220,212,09"
S106,300785,2023,2,数据服务,nongeneric,high,dense,4,内容策划、数据分析、流量 投放乃至对品牌文化有着专业理解的服务商，将获得更深入的发展空间。 表：2019-2026 年直播电商交易规模及增速 数据来源：艾瑞咨询 4、数据要素市场高速发展，消费数据服务需求广泛 数据作为数字经济发展的关键生产要素，近年来受到国家和企业的高度重视。2022 年 11 月，国务院印发《关于构 建数据基础制度更好发挥数据要素作用的意见》（简称《数据二十条》），要求在数
S107,300810,2023,3,数据中心,nongeneric,high,dense,5,务 公司长期专注于国家特种电子信息行业声纳装备领域相关产品的研发、生产和销售，围绕该行业战略发展方向，紧 贴最终用户需求，为客户提供信号处理平台、声纳系统、水声大数据、仿真训练系统、无人探测系统、数据中心等产品， 主要作用为水声目标探测与识别、水声通信与数据传输、水声导航与测绘等，最终用户主要为国家特种部门。 随着大数据、人工智能技术的发展，水声装备智能化的需求愈发迫切。公司不断跟踪新技术发展，将
S108,300450,2019,2,数据集,nongeneric,high,dense,5,装备的发展深度和广度日益提升，以新型传 感器、智能控制系统、工业机器人、自动化成套生产线为代表的智能制造装备产业体系初步形成。汽车相 关产业是智能制造的主战场，精密加工与组装、工业数据建模与分析、数据集成与边缘处理、数字孪生等 先进制造技术将改变汽车相关产业的生产方式。公司将利用产业转型升级的契机，布局更具价值竞争力的 智能制造领域，以技术创新引领产业升级，提升公司的国际竞争力。 （三）经营计
S109,300166,2020,2,数据中心,nongeneric,high,dense,10,聚了各类资源、工具、数据以及数据工程师。除竞赛社区外，公司产品还包 括图灵培训、图灵众包，图灵实验室和图灵云等。 （5）数据工具及数据应用产品线 （a）数据治理平台BDG：帮助客户建立企业级数据中心，自上而下开展大数据治理，利用数据治理 平台提供的基础能力，将企业数据集成整合，实现数据的统一管控和精细化管理，保障数据资产质量。支 持海量数据应用，推动企业大数据分析，挖掘数据潜在价值，为企业战
S110,688686,2021,2,机器学习,nongeneric,high,dense,4,为线性阵列相机，使用由单行光电探测器组成的传感 器的摄像机 算法 指 按照要求设计好的有限的确切的计算序列，并且这样的步 骤和序列可以解决一类问题 深度学习 指 人工智能及机器学习的一个子集，仿真生物神经系统（例如 人类大脑）工作，使用多层神经网络最先进精确执行任务， 例如物体探测及识别、语音识别及自然语义处理 鲁棒性 指 Robustness，统计学中的专业术
S111,603636,2023,2,数据安全,nongeneric,high,dense,3,审和管理功能，可以大大提高申报、评审效率和质量， 为人工智能技术的发展和应用提供有力支持。 人工智能硬件研发方面，公司推出行业大模型训推一体机，作为国产信创产品，行业大模型 训推一体机致力于确保数据安全和应用稳定，集成了高性能计算设备、行业模型、场景模型和模 型开发工具，优化了训练速度和精度，并具备可扩展性，是一款专为政务、司法、城市治理、高 校等领域设计的专业一体机，同时公司还提供全方位的大模
S112,300592,2024,2,算法,nongeneric,high,dense,4,核心动力。截至2024 年12 月31 日，公司技术人员共计 281 人，占公司总人数8.08%。技术团队依托专业知识和丰富经验，开发和研究核心算法，为管理层决 策提供大数据和算法支持。例如在选品算法上，结合市场销售数据，精准筛选潜力产品，开拓业务增长 点，持续推动公司在商业模式和技术应用上的创新。 华凯易佰科技股份有限公司2024 年年度报告全文 20 公司掌握的具体核心技术情况如下：
S113,2335,2024,2,数据中心,nongeneric,high,dense,3,极反馈和认可。公司产品广泛应 用于内蒙古枢纽和林格尔数据中心集群、河北省张家口集群、长三角生态绿色一体化发展示范区集群、宁夏中卫集群等 科华数据股份有限公司2024 年年度报告全文 14 多个数据中心集群，助力“东数西算”工程算力基座建设与运营。在金融领域，公司“极智金融”解决方案已被众多金 融机构采纳为总部级数据中心核心技术方案，高可靠高安全的国产大功率UPS 以及智能微模块解决方案，在多个金
S114,600233,2024,2,数字营销,nongeneric,high,dense,2,期内，公司推进“圆准达”等差异化产品在全链路的优先操作，改善全程跟单、派前电联、极速理赔等服务体验， 稳步完善“普遍服务- 圆准达- 高端时效产品”产品体系，打造差异化产品及服务竞争优势；进一步优化数字营销平台， 分析评估市场需求与潜力，推动分类客户的商机开发及服务保障，逐步改善客户结构；公司亦加强与电商平台对接， 推动逆向物流等业务发展，并依托智能算法，实现营销策略精准化、差异化投放，强化散单业务
S115,300229,2024,2,数据中台,nongeneric,high,dense,3,价值。数据中台通过统一的数据 管理体系，对分散、异构的数据 资源进行治理、整合和加工，从 而提升数据的质量和可用性，并 为企业的业务决策、智能分析和 创新应用提供强有力的支撑。此 外，数据中台作为数据服务的核 心枢纽，不仅能够提高数据的流 通效率，还能以标准化、服务化 的方式对外提供数据能力，满足 不同业务场景的需求。特别是在 大模型时代，数据的规模、质量 和管理能力成为人工智
S116,300687,2023,2,数据中心,nongeneric,high,dense,2,成为工业经济转型升级的重要途径。 公司在上述领域，基于自主技术研发的工业互联网平台，在感知层能够运用智能传感器采集设备的各类 工况数据信息，通过智能网关在传输层应用多种通讯协议传送至工业互联网云端数据中心，利用工业互联网 数据中心的采集、组织、分析能力，基于已建立的完善的设备健康值模型，以数据为基础，从现象出发，为 客户提供不同的设备检修与维护策略。平台通过边缘层、基础设施层（IaaS）对工业数据
S117,601088,2014,2,运营数据,nongeneric,high,dense,2,告 2014-8-13 上海证交所网站 146 2014 年 7 月份主要运营数据公告 2014-8-18 香港联交所网站 147 中国神华 2014 年 7 月份主要运营数据公告 2014-8-19 上海证交所网站 148 海外监管公告 2014-8-20 香港联交所网站 149 中国神华关于山东国华寿光电厂“上大压小”新建工程项目获 得
S118,300542,2020,2,数据库,nongeneric,high,dense,4,于黑 盒子的可信计算环境方式，但仍需证明第三方的可靠性。 随着大数据的发展，企业和公共机构越来越需要将不同的数据进行有效链接，从而形成新的动态知识，以辅助企业和公 共机构的决策。这就需要运用图数据库、图计算引擎和知识图谱，其中知识图谱是图数据库和图计算引擎的重要应用场景。 根据DB-Engines排名分析，图数据库关注热度在2013年到2020年间增长了10倍，关注度增长排名第一，远远高于其它
S119,2197,2018,2,数据安全,nongeneric,high,dense,4,大数据相关产品和服务业务收入突破1万亿元，年 均复合增长率保持30%左右。在此基础之上，明确了2020年的细化发展目标，即技术产品先进可控、应用能力显著增强、生 态体系繁荣发展、支撑能力不断增强、数据安全保障有力。作为大数据产业的基础设施，数据中心的市场需求和未来发展得 到政策支持与保障。 根据2017年4月10日工信部印发《云计算发展三年行动计划(2017-2019年)》提出明确的发展目标：2
S120,603138,2024,3,数据资源,nongeneric,high,dense,2,"32,137.15 无形资产 七、26 97,041,278.01 34,542,925.48 其中：数据资源 开发支出 66,372,173.90 2,795,633.61 其中：数据资源 商誉 七、27 474,991.57 长期待摊费用 七、28 57,360.19 518,344.99 递延所得税资产 七、29 33,139,436.33 33,101,21"
